SCC: ,SCC Descriptions: ,NH3 (kg) Emissions,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NH3 to TotalPop,Deaths from NH3 to WhiteNoLat,Deaths from NH3 to Black,Deaths from NH3 to Native,Deaths from NH3 to Asian,Deaths from NH3 to Other,Deaths from NH3 to Latino,Deaths from NH3 to Poverty,Deaths from NH3 to TwoXPov
2310021103,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 2Cycle Lean Burn Compressor Engines 500+ HP""",,10010.2752912846,887.930099762,12.7836834243,4825.1731561882,0,0,0,0,0,0,0,0,0
2310002305,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil And Gas Production;Flares: Flaring Operations""",,259299.912308083,0.6894606,0.0433160725,9837.2756451077,0,0,0,0,0,0,0,0,0
2310112401,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Exploration;Oil Well Pneumatic Pumps""",,0,0,0,171.2194660635,0,0,0,0,0,0,0,0,0
2310000550,"""Industrial Processes;Oil and Gas Exploration and Production;All Processes;Produced Water""",,0,0,0,40853427.7755599,0,0,0,0,0,0,0,0,0
2310010700,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum; Oil well fugitives""",,,,,20024422.8716775,0,0,0,0,0,0,0,0,0
2310021403,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Nat Gas Fired 4Cycle Rich Burn Compressor Engines 500+ HP w/NSCR""",,15623821.2485344,105754.990134428,6534.525421097,327927.864384196,0,0,0,0,0,0,0,0,0
2310021203,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Lean Burn Compressor Engines 500+ HP""",,2508737.4098366,21517.5396664787,4388.2690641407,1065508.11399691,0,0,0,0,0,0,0,0,0
2310012000,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum : Off-shore;Total: All Processes""",,122518.35517605,1042.1259564765,38.0047737798,4541.2894570605,0,0,0,0,0,0,0,0,0
2310011000,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum : On-shore;Total: All Processes""",,921315.163831871,,7440871.14633641,66391222.2236596,0,0,0,0,0,0,0,0,0
2310011501,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Production;Fugitives: Connectors""",,0,0,0,12111608.6156753,0,0,0,0,0,0,0,0,0
